,Amount,Frequency,Recency
1131,145.67000000000002,7,73
1132,1015.29,61,30
1133,3192.54,33,6
1134,3104.95,307,122
1135,2751.25,118,1
1136,6389.8,338,22
1137,381.7,24,119
1138,540.45,18,357
1139,1786.79,104,53
1140,122.7,7,63
1141,117.24,3,85
1142,1281.53,36,54
1143,3219.77,165,20
1145,1131.28,66,2
1146,2538.75,155,0
1147,781.3000000000001,60,6
1148,506.8,28,188
1149,243.56,16,70
1150,349.55,19,203
1151,605.63,40,119
1152,416.90000000000003,15,92
1153,1860.8600000000001,114,0
1154,632.97,27,26
1155,821.1,21,297
1156,535.97,30,21
1157,2588.12,119,20
1158,311.16,17,49
1159,155.93,12,325
1160,388.52,19,15
1161,740.95,43,182
1162,2867.2,149,71
1163,332.64,26,36
1164,2347.05,126,79
1165,2580.91,148,56
1166,613.95,34,3
1167,272.04,18,49
1168,1212.8400000000001,30,49
1169,350.15999999999997,33,52
1170,172.25,7,351
1171,351.13,20,53
1172,1682.08,137,1
1173,616.65,45,35
1174,223.85000000000002,11,22
1175,348.99,21,74
1176,464.57,27,10
1177,802.85,10,168
1178,337.34,17,57
1179,1230.93,59,85
1180,307.4,16,294
1181,608.7900000000001,23,108
1182,922.1,31,263
1183,361.28,27,170
1184,158.85,9,168
1185,71.66,7,34
1186,556.75,46,22
1187,839.14,49,16
1188,4912.41,47,21
1189,561.5699999999999,11,78
1190,90.6,5,64
1191,102.0,3,360
1192,2427.32,160,2
1193,728.56,36,10
1194,674.45,39,175
1195,3246.091,138,210
1196,3515.68,20,6
1197,378.59,30,1
1198,322.96,33,153
1199,1026.42,152,4
1200,-102.45,5,371
1201,598.2,92,78
1202,230.22,12,20
1203,169.55,11,21
1204,664.54,35,307
1205,80.7,2,145
1206,8986.69,633,6
1207,2702.2200000000003,158,8
1208,190.25,15,70
1209,264.7,11,286
1210,413.59000000000003,28,48
1211,2503.23,340,30
1212,357.98,10,206
1213,196.79000000000002,15,14
1214,869.87,54,72
1215,200.14,11,59
1216,1861.11,115,38
1217,2590.46,112,29
1218,488.03,17,26
1219,7024.53,353,3
1220,320.46,13,16
1221,4098.8,239,19
1222,1266.08,41,65
1223,311.3,16,212
1224,850.63,86,11
1225,76.8,5,29
1226,3409.66,125,31
1227,2313.14,155,3
1228,1383.49,87,14
1229,3865.26,212,9
1230,633.71,16,205
1231,2030.3300000000002,40,45
1232,529.73,47,133
1233,4582.64,171,42
1234,2874.72,84,9
1235,962.19,30,115
1236,685.9300000000001,44,197
1237,328.8,11,277
1238,473.02,34,109
1239,505.18,39,76
1240,917.34,20,52
1241,4328.46,162,153
1242,1398.96,68,46
1243,642.8,39,16
1244,631.9,22,154
1245,440.0,28,224
1246,584.07,31,6
1247,327.7,16,121
1248,104.82,6,60
1249,467.66,15,62
1250,2360.09,243,17
1252,2929.84,152,1
1253,512.02,92,21
1254,1428.02,66,28
1255,626.65,38,284
1256,147.20000000000002,28,175
1257,1554.48,93,77
1258,152.2,6,32
1259,3542.19,241,40
1260,141.41,21,265
1261,652.82,209,26
1262,1659.75,6,108
1263,154.99,14,283
1264,1290.01,34,8
1265,375.13,88,276
1266,5639.15,505,16
1267,746.36,54,31
1269,225.36,56,19
1270,260.25,4,123
1271,92.46,6,64
1272,725.6400000000001,10,105
1274,6147.4,291,23
1275,183.6,8,266
1276,6135.38,203,4
1277,10464.85,111,9
1278,1188.32,82,28
1279,152.55,7,266
1280,374.7,52,63
1281,265.85,24,319
1282,1307.41,333,3
1283,139.54,14,20
1284,942.26,43,4
1285,122.47,46,128
1286,499.41999999999996,42,40
1287,1049.37,65,101
1288,375.1,12,124
1289,45.599999999999994,4,32
1290,904.67,156,266
1291,182.25,29,364
1292,1018.43,181,3
1293,4435.79,451,1
1294,181.67,70,2
1296,161.0,14,56
1297,76.32000000000001,1,324
1298,4063.1,217,7
1299,442.85,105,11
1301,147.35,21,36
1302,3092.9700000000003,252,15
1303,194.9,26,137
1304,5976.79,35,73
1305,1314.73,84,4
1306,216.20999999999998,21,154
1307,1260.33,76,84
1308,2688.48,124,51
1309,594.16,35,30
1310,80.2,14,22
1311,5669.65,157,3
1312,688.6,11,13
1313,2774.17,173,22
1314,1377.92,40,3
1315,386.53,15,273
1316,1382.74,72,19
1317,90.0,3,143
1318,-19.9,1,353
1319,2740.3,161,3
1320,419.58000000000004,5,83
1321,2740.43,167,10
1322,643.6300000000001,16,7
1323,709.71,44,122
1324,637.5,46,60
1325,1123.8600000000001,52,1
1326,483.86,67,318
1327,3580.13,201,1
1328,590.3399999999999,30,129
1329,4690.31,134,1
1330,982.3800000000001,47,1
1331,415.82,26,45
1332,920.05,67,3
1333,879.0300000000001,46,2
1334,311.81,22,372
1335,115.8,7,133
1336,3148.2,12,46
1337,2949.57,245,8
1338,468.4,6,48
1339,157.2,3,233
1340,259.43,40,212
1341,658.64,26,35
1342,611.09,50,74
1343,1345.62,52,238
1344,118.75,6,265
1346,400.43,49,19
1347,507.66,41,39
1349,1110.52,108,215
1350,289.36,25,173
1351,2445.91,52,86
1352,1631.77,29,70
1353,122.53999999999999,25,275
1354,574.84,52,38
1355,363.79,58,97
1356,450.84,29,10
1357,134.46,26,32
1358,3108.06,164,50
1359,574.0,32,296
1360,554.46,43,84
1361,1620.93,327,8
1362,719.78,165,40
1363,4640.77,248,10
1364,452.89,24,66
1365,197.65,3,330
1366,2018.91,71,8
1367,4604.31,277,1
1368,4660.01,263,1
1369,853.39,42,67
1370,11216.75,604,4
1371,962.7,8,201
1372,335.52,6,106
1373,663.5,44,3
1374,185.39999999999998,2,217
1375,688.04,39,59
1376,161.03,44,1
1377,218.78,39,10
1378,308.26,21,238
1379,151.74,10,94
1380,2067.13,88,10
1381,1900.89,103,90
1382,2208.3,118,52
1383,1070.48,9,89
1384,-1192.2,5,371
1385,1000.23,70,30
1386,1777.92,109,11
1387,1839.3,59,2
1388,1925.3600000000001,107,1
1389,169.48000000000002,12,42
1390,89.94,7,3
1391,632.4,21,246
1392,3427.85,194,41
1393,683.17,41,176
1394,975.23,61,91
1395,1050.12,118,109
1396,2201.64,73,28
1397,3315.71,183,25
1398,1450.6,43,51
1399,822.0600000000001,54,178
1400,2043.93,118,31
1401,1447.51,36,43
1402,775.46,159,21
1403,3093.86,80,9
1404,490.86,15,80
1405,161.0,9,372
1406,146.85,8,325
1407,2323.5,116,42
1408,890.34,42,29
1409,213.70000000000002,10,183
1410,280.55,16,234
1411,2535.88,148,8
1412,1677.48,112,175
1413,1474.06,75,110
1414,136.76999999999998,20,277
1415,302.58,8,317
1416,1904.05,111,6
1417,2879.7000000000003,78,1
1418,935.0600000000001,54,253
1419,3087.27,107,50
1420,12650.08,112,8
1421,120.0,5,141
1422,1163.45,52,50
1423,2618.23,143,7
1424,319.47,19,154
1425,530.18,31,108
1426,1279.09,66,150
1427,492.65000000000003,29,331
1428,112.32,10,225
1429,437.96,33,73
1430,559.97,29,50
1431,1019.39,75,87
1432,3957.0,228,14
1433,134.04,8,196
1434,3729.34,156,2
1435,578.45,34,30
1436,1910.01,27,20
1437,4595.81,285,23
1438,151.23000000000002,11,7
1439,413.85,17,211
1440,911.26,47,8
1441,2307.4500000000003,103,10
1442,3873.3,238,1
1443,4819.33,108,7
1444,1046.56,61,2
1445,154.70000000000002,7,39
1446,1284.06,64,17
1448,2855.35,162,7
1449,43.2,3,18
1450,632.04,16,107
1451,197.1,27,222
1452,1803.76,110,70
1453,2083.42,35,50
1454,2995.72,180,88
1455,2319.68,123,7
1456,229.71,27,224
1457,1611.59,87,46
1458,120.0,8,106
1459,2456.98,104,20
1460,508.58000000000004,24,64
1461,343.11,42,206
1462,1530.75,123,10
1463,574.26,41,114
1464,166.85,9,234
1465,311.65,12,162
1466,4928.74,269,8
1467,462.65999999999997,28,123
1468,866.31,26,22
1469,351.45,19,63
1470,2539.46,163,16
1471,468.26,63,15
1472,1614.91,90,16
1473,554.22,34,157
1474,289.90999999999997,18,234
1475,134.7,6,218
1476,2166.38,130,44
1477,607.71,24,20
1478,889.9300000000001,71,126
1479,108.97999999999999,6,38
1480,1021.58,60,120
1481,409.57,18,259
1482,133.5,31,9
1483,258.7,21,270
1484,51.0,1,164
1485,1078.96,47,156
1486,90.6,6,214
1487,163.62,9,5
1488,174.4,11,365
1489,666.9399999999999,38,59
1490,225.77,41,42
1491,882.58,58,18
1492,2128.23,118,31
1493,161.2,41,21
1494,3717.35,69,108
1495,9167.82,533,7
1496,155.0,8,319
1497,100.5,4,294
1498,76.55,4,357
1499,257.68,75,184
1500,617.05,11,190
1501,348.1,46,43
1502,202.68,56,51
1503,626.0699999999999,131,25
1504,1247.69,59,37
1505,202.11,14,8
1506,142.4,7,296
1507,1770.56,140,32
1508,3172.04,191,8
1509,999.72,62,8
1510,4592.47,291,9
1511,67.95,5,217
1512,3471.91,353,1
1513,487.99,73,64
1514,2556.68,95,0
1515,559.7,26,140
1516,4039.98,183,3
1517,1426.31,26,129
1518,1434.72,104,33
1519,156.75,8,118
1520,2111.08,76,106
1521,2606.53,107,10
1522,1908.25,55,70
1523,576.3,287,15
1524,1063.0,14,310
1525,761.3299999999999,45,34
1526,122.7,23,361
1527,1485.1299999999999,98,91
1528,5811.56,612,0
1529,490.22,14,21
1530,1937.25,124,3
1531,1058.06,206,10
1532,385.87,30,84
1533,813.11,27,56
1534,4263.64,222,0
1535,265.2,3,217
1536,322.08,1,17
1537,3918.9,264,18
1538,363.34000000000003,17,49
1539,1230.14,148,6
1540,397.76,22,298
1541,2255.51,382,9
1542,1372.8,12,21
1543,89.06,9,98
1544,-43.400000000000006,6,142
1545,131.9,9,305
1546,2661.24,32,319
1547,2357.6800000000003,55,7
1548,1545.14,59,0
1549,1544.62,68,1
1550,1400.88,98,53
1551,1039.58,293,0
1552,1163.23,70,18
1553,375.35,20,8
1554,907.1,258,18
1555,483.25,40,180
1556,662.59,109,59
1557,264.44,62,10
1558,119.93,22,189
1560,113.64,4,310
1561,1837.92,37,154
1562,383.34,17,109
1563,2103.06,180,147
1564,1965.9,246,63
1565,529.62,6,97
1566,1058.6200000000001,130,246
1567,2272.4,72,28
1568,598.76,90,17
1569,461.19,43,11
1570,1936.84,281,103
1571,234.34000000000003,7,73
1572,537.71,30,42
1573,799.82,47,71
1574,215.7,19,256
1575,1307.81,11,19
1576,316.25,18,253
1577,279.05,13,10
1578,636.51,30,164
1579,2068.15,144,17
1580,129.2,10,149
1581,321.92,14,49
1582,165.75,47,38
1583,1183.58,145,26
1584,1047.43,49,50
1585,463.38,30,206
1586,340.93,17,174
1587,2362.84,123,6
1588,139.56,7,25
1589,123.8,6,50
1590,538.8100000000001,19,311
1591,457.47,31,300
1592,1957.32,193,42
1593,815.32,194,25
1594,356.85,7,87
1595,190.31,12,63
1596,2351.02,631,19
1597,3543.26,164,2
1598,673.26,107,46
1600,2012.17,316,16
1601,1368.18,98,23
1602,276.42,57,21
1603,1267.4099999999999,71,10
1604,275.28,23,187
1605,438.49,18,100
1606,1055.35,73,60
1607,2102.09,101,17
1608,330.45,18,32
1609,174.37,16,63
1610,270.6,4,1
1611,974.54,17,23
1612,241.09,12,107
1613,1867.68,203,31
1614,4221.37,298,8
1616,364.21999999999997,18,36
1617,620.04,229,59
1618,2925.91,216,25
1619,932.85,64,235
1620,1812.6200000000001,65,24
1621,4075.35,558,2
1622,2841.09,333,58
1623,171.8,19,259
1624,355.56,10,57
1625,388.25,19,64
1626,537.48,32,15
1627,996.26,76,9
1628,1461.65,111,58
1629,103.25,5,185
1630,2916.17,107,3
1631,2024.45,114,23
1632,2487.02,417,3
1633,3986.7400000000002,367,3
1634,652.8,4,150
1635,289.24,56,310
1636,765.62,48,10
1637,186.23,10,17
1638,165.07,58,151
1639,859.27,113,18
1640,2381.04,216,9
1641,324.14,21,56
1642,0.0,32,63
1643,2174.18,76,6
1644,1080.76,69,75
1645,4709.22,446,3
1646,3073.77,129,95
1647,1432.0,4,110
1648,1524.46,34,34
1649,227.39,12,0
1650,218.06,29,280
1651,2803.69,273,2
1652,1603.72,241,179
1653,35.400000000000006,1,371
1654,859.71,123,12
1655,168.63,24,2
1656,138.6,17,16
1657,114.11,6,40
1658,1052.55,330,5
1659,1029.26,101,168
1660,157.05,29,49
1661,134.16,27,226
1662,1598.24,384,18
1663,39.75,3,371
1664,1447.14,197,14
1665,570.46,164,34
1666,617.99,152,21
1667,379.83,53,6
1668,1740.6,102,19
1669,883.15,55,10
1670,221.97,50,43
1671,393.33000000000004,25,305
1672,213.96,7,10
1673,660.0,2,274
1675,11341.1,114,15
1676,1785.15,20,3
1677,601.56,4,71
1678,406.08000000000004,3,242
1679,538.59,17,8
1680,379.51,22,238
1681,393.28000000000003,30,203
1682,1765.76,96,0
1683,320.58000000000004,21,184
1684,869.35,135,31
1685,225.85,13,56
1686,848.48,57,184
1687,2757.07,126,8
1688,-21.85,5,311
1689,671.96,24,90
1690,939.21,153,3
1691,1006.98,41,50
1692,114.56,8,262
1693,344.90000000000003,20,265
1694,609.85,28,35
1695,443.6,16,50
1696,2952.34,175,51
1697,2042.15,113,15
1698,110.46,7,21
1699,96.12,2,58
1700,668.61,34,169
1701,780.46,29,8
1702,597.09,30,156
1704,243.22,30,200
1705,1417.29,199,4
1706,654.6,102,66
1707,114.18,29,76
1708,1947.55,237,0
1709,1930.15,50,3
1710,291.05,80,168
1711,838.27,127,17
1712,247.15,29,4
1713,2456.53,259,8
1714,285.74,30,86
1715,107.95,4,26
1716,771.17,168,28
1717,637.89,99,19
1718,1258.38,117,60
1719,195.25,14,23
1720,9231.2,576,10
1721,1269.99,170,241
1722,411.53,132,279
1723,765.55,61,234
1724,1736.4,74,2
1725,604.75,102,15
1726,2543.2400000000002,44,30
1727,-2.55,1,371
1729,498.95,7,70
1730,52.0,2,187
1731,1236.28,421,25
1732,628.38,15,106
1733,5107.38,359,7
1734,112.8,13,208
1735,358.61,54,43
1736,2114.33,71,30
1737,582.05,69,136
1738,172.9,8,264
1739,2070.97,133,3
1740,188.60999999999999,22,217
1741,1250.76,210,1
1742,109.13000000000001,8,213
1743,2235.3,115,31
1744,2486.2200000000003,350,10
1745,3250.64,348,0
1746,318.17,22,14
1747,1546.91,415,10
1748,179.0,1,198
1749,1096.67,29,2
1750,4911.14,197,14
1751,606.13,139,13
1752,2838.2,359,9
1753,917.07,25,28
1754,2664.2599999999998,341,8
1755,160.19,10,23
1756,867.38,71,24
1757,329.68,55,42
1758,1592.18,238,1
1759,663.81,37,5
1760,187.92000000000002,29,146
1761,1158.3,278,9
1762,718.08,52,24
1763,268.58,10,273
1764,313.49,71,373
1765,2005.06,501,0
1766,380.02,45,46
1767,2686.34,149,7
1768,9451.54,216,8
1769,5807.6900000000005,205,3
1770,1164.55,17,3
1771,1289.94,56,38
1772,3899.1,61,1
1773,1423.21,93,190
1774,1400.34,59,11
1775,1088.53,28,15
1776,1167.16,70,112
1777,294.3,19,247
1778,1311.79,92,28
1779,389.64,5,43
1780,563.15,30,86
1781,638.05,41,44
1782,4965.38,237,9
1783,738.96,38,14
1784,420.5,19,74
1785,1484.06,71,144
1786,1625.97,102,4
1787,53.8,7,293
1788,255.9,11,58
1789,300.52,21,263
1790,250.55,7,43
1791,254.11,39,28
1792,2423.07,137,7
1793,139.5,6,16
1795,876.42,52,231
1796,139.26,9,111
1797,1011.9,60,57
1798,2195.58,134,50
1799,-17.45,3,3
1800,730.86,35,126
1801,386.15,41,280
1802,447.68,27,54
1803,200.10000000000002,6,319
1804,289.99,15,25
1805,77.4,3,9
1806,679.4399999999999,30,6
1807,197.64,6,28
1808,745.06,46,16
1809,0.0,4,63
1810,214.14,15,3
1811,1272.11,82,2
1812,131.45000000000002,6,165
1814,173.74,12,52
1815,157.7,13,50
1816,4236.34,392,47
1817,193.14,59,60
1818,845.55,44,161
1819,353.27,12,8
1820,554.65,47,14
1821,193.39000000000001,11,74
1822,2175.37,256,39
1823,2087.88,255,40
1824,155.43,30,369
1825,778.5,53,36
1826,271.85,4,196
1827,1110.34,63,199
1828,657.8,48,73
1829,272.07,13,63
1830,507.29,29,20
1831,48.800000000000004,2,366
1832,321.43,70,179
1833,1127.71,29,9
1834,2226.91,121,3
1835,2139.76,17,196
1836,644.65,45,28
1837,197.13,40,52
1838,1698.35,70,17
1839,102.44999999999999,6,9
1840,1641.2,110,89
1841,62.85,4,267
1842,3295.76,138,52
1843,2456.8,158,34
1844,3189.81,130,63
1845,309.4,13,148
1846,7904.28,392,21
1847,278.15,22,311
1848,511.35,28,22
1849,2836.69,143,57
1850,463.05,10,8
1851,2749.89,131,77
1852,645.65,20,118
1853,1311.3799999999999,66,35
1854,1165.65,61,59
1855,1352.04,59,12
1856,168.62,12,8
1857,125.79,6,51
1858,841.1999999999999,48,25
1859,266.76,11,28
1860,52.2,4,6
1862,701.33,37,185
1863,2939.64,147,2
1864,721.95,72,3
1865,327.25,13,261
1866,522.38,98,2
1867,519.68,28,209
1868,1448.72,50,8
1869,1485.54,124,12
1870,706.19,47,76
1871,255.4,17,19
1872,589.7,11,26
1873,756.64,54,18
1874,765.3199999999999,15,131
1875,364.8,18,252
1876,1862.0,6,78
1877,369.2,20,206
1878,135.9,10,335
1879,125.65,7,253
1880,554.38,33,147
1881,1237.8500000000001,73,9
1882,655.75,23,84
1883,11020.26,506,7
1884,468.77000000000004,43,204
1885,1366.38,55,7
1886,1228.32,119,22
1887,1414.99,98,10
1888,314.11,24,20
1889,2744.48,364,20
1890,1025.44,69,1
1891,599.9,18,153
1892,3478.85,168,2
1893,277.8,9,73
1894,389.86,35,2
1896,841.52,28,16
1897,1227.43,87,35
1898,258.83,13,85
1899,1264.84,79,70
1900,1610.15,45,115
1901,977.77,57,212
1902,1316.07,78,29
1903,749.1,44,50
1904,310.05,10,245
1905,223.88,11,31
1906,2372.86,128,108
1907,964.6800000000001,42,4
1908,363.53,17,365
1909,1888.84,88,72
1910,1784.71,10,296
1911,8117.42,366,8
1912,1617.63,35,56
1913,5842.95,172,29
1914,100.9,3,13
1915,290.82,14,71
1916,1066.57,64,22
1917,361.25,20,8
1918,311.69,20,78
1919,7912.79,149,45
1920,289.82,55,24
1921,336.17,85,11
1922,58.49,12,252
1923,499.68,42,146
1924,684.97,61,58
1925,221.27,27,7
1926,7006.58,317,10
1927,126.7,5,270
1928,1487.8,198,9
1929,206.21,13,246
1930,599.0,83,95
1931,191.32,38,14
1932,463.8,6,49
1933,147.59,37,29
1934,1592.06,34,67
1935,1116.57,160,34
1936,114.77,18,127
1937,1314.45,32,106
1938,114.39,21,36
1939,279.94,11,56
1940,765.86,73,56
1941,1931.42,216,71
1942,102.12,8,245
1943,213.27,41,18
1944,296.75,87,197
1945,326.4,4,15
1946,334.54,40,211
1947,233.23000000000002,61,38
1948,540.98,27,45
1949,429.87,75,169
1950,490.52,77,47
1951,1641.76,115,115
1952,1246.32,158,146
1954,502.09,144,50
1955,156.91,12,158
1956,1261.78,182,11
1957,308.94,20,35
1958,423.04,128,53
1959,260.17,35,42
1960,170.04,20,172
1961,125.58,20,33
1962,456.26,32,38
1963,266.0,70,266
1964,1872.28,479,8
1965,905.04,135,11
1966,6763.16,563,2
1967,1661.33,155,9
1968,377.01,72,32
1969,469.0,61,79
1970,1051.95,37,30
1971,627.13,48,7
1972,518.28,7,71
1973,668.14,111,3
1974,4464.1,55,255
1975,2571.02,513,4
1976,4277.66,400,15
1977,252.73000000000002,27,89
1978,465.55,127,71
1979,665.59,133,42
1981,180.35,67,169
1982,135.93,5,198
1983,537.0,3,30
1984,7629.38,461,18
1985,633.66,13,151
1986,5064.01,207,8
1987,343.62,22,269
1988,380.57,98,64
1989,121.17000000000002,3,273
1990,1727.17,80,24
1991,1391.61,143,22
1992,215.78,30,318
1993,697.79,71,4
1994,302.1,114,11
1995,1489.5,25,274
1996,2124.9900000000002,276,24
1997,1325.82,239,40
1998,303.09,121,7
2000,987.86,57,70
2001,370.79999999999995,5,212
2002,3135.98,158,37
2003,760.59,53,31
2004,1744.76,82,77
2005,553.36,104,45
2006,1109.53,70,178
2007,106.2,1,372
2008,982.07,26,93
2009,612.43,76,9
2010,748.87,42,104
2011,773.03,27,77
2012,880.85,49,172
2013,9623.35,451,6
2014,893.66,48,212
2015,487.35,35,21
2016,88.2,5,256
2017,306.94,15,281
2018,1140.27,60,20
2019,2420.84,145,9
2020,381.32,23,307
2021,476.96,31,53
2022,457.81,26,214
2023,4410.14,112,17
2024,1364.7,49,103
2025,219.39000000000001,11,42
2026,248.08,25,3
2027,649.5,5,181
2028,410.48,23,83
2029,635.1,6,329
2030,310.03,9,8
2031,703.36,35,30
2032,1002.54,71,166
2033,2298.93,101,17
2034,1407.73,102,17
2035,247.66,20,310
2036,1291.75,61,141
2037,463.75,31,240
2038,970.25,40,23
2039,1567.48,84,28
2040,3439.41,101,9
2041,2760.56,197,29
2042,340.11,21,17
2043,1352.75,45,17
2044,1550.13,80,14
2045,244.8,1,133
2046,266.4,14,245
2047,343.82,22,129
2048,457.72,28,49
2049,1612.13,87,84
2050,2199.31,106,6
2051,184.19,15,22
2052,11117.05,140,24
2053,406.53,16,65
2054,1419.54,111,59
2055,3447.4,84,49
2056,330.11,22,169
2057,977.9300000000001,52,17
2058,982.42,29,127
2059,1387.99,73,14
2060,127.15,10,232
2061,1282.45,69,2
2062,178.96,13,239
2063,2350.0,81,51
2064,498.74,26,45
2065,259.45,14,225
2066,6530.04,218,7
2067,1194.73,67,3
2068,1313.66,95,164
2069,608.65,29,218
2070,301.29,20,10
2071,520.8000000000001,23,133
2072,5303.97,344,16
2073,4684.24,278,9
2074,329.25,22,30
2075,240.27,92,73
2076,961.49,55,0
2077,1869.5,133,3
2078,401.40000000000003,7,44
2080,158.16,4,356
2081,304.47,29,17
2082,843.05,103,68
2083,487.75,27,372
2084,163.0,41,320
2085,106.56,5,25
2086,1034.5,7,324
2087,1624.05,110,8
2088,135.75,11,322
2089,224.14,23,71
2090,40.5,3,259
2091,2186.2,95,17
2092,87.5,6,366
2093,680.28,18,65
2094,622.85,29,153
2095,406.76,63,28
2096,310.62,21,69
2097,411.41,19,13
2098,4670.08,93,1
2100,1044.32,51,119
2101,499.32,19,60
2102,7521.17,326,2
2103,3861.0,1,2
2104,656.44,36,8
2105,193.64,10,91
2106,1268.7,13,58
2107,927.84,97,78
2108,1827.8,142,25
2109,316.58,9,356
2110,648.8299999999999,38,84
2111,420.29999999999995,9,9
2112,867.62,43,0
2113,331.18,20,224
2114,894.4100000000001,52,59
2115,88.94999999999999,7,238
2116,325.05,25,318
2117,1661.44,110,1
2118,615.99,43,44
2119,96.6,2,87
2120,5756.89,166,10
2121,305.75,9,175
2122,1758.92,119,51
2123,114.1,11,365
2124,585.0,5,318
2125,454.90000000000003,32,225
2126,310.48,16,357
2127,409.40000000000003,23,233
2128,154.41,8,310
2129,1219.4,58,36
2130,3376.96,126,65
2131,429.6,23,238
2132,612.06,31,112
2133,197.0,14,276
2134,2247.51,143,217
2135,321.05,15,298
2136,1412.32,99,1
2137,1056.54,52,28
2138,764.34,52,9
2139,1685.57,83,44
2140,1738.59,111,66
2141,316.68,22,73
2142,631.57,34,64
2143,2515.84,89,133
2144,514.15,33,237
2145,356.0,6,121
2146,6657.36,358,31
2147,10327.11,121,8
2148,740.78,44,35
2149,915.3,55,15
2150,300.36,18,126
2151,890.85,47,66
2152,98.45,6,148
2153,232.14999999999998,8,280
2154,623.16,34,168
2155,1780.77,78,99
2156,254.82,19,134
2157,178.95000000000002,10,323
2158,156.51,12,106
2159,393.74,23,63
2160,1506.1200000000001,82,150
2161,119.3,6,337
2162,1717.36,11,21
2163,408.8,2,23
2164,2298.2,48,15
2165,2485.82,275,6
2166,721.94,63,56
2167,716.57,47,3
2168,609.19,42,30
2169,135.31,52,65
2170,255.89999999999998,12,46
2171,277.40999999999997,21,354
2172,113.12,16,171
2173,2239.9500000000003,150,58
2174,240.55,3,49
2175,485.24,21,21
2176,2306.52,88,42
2177,935.1,59,28
2178,7803.7699999999995,212,4
2179,4596.51,109,25
2180,180.94,25,200
2181,3610.31,200,43
2182,635.04,41,9
2183,3774.1,194,1
2184,3787.09,12,66
2185,496.44,28,63
2186,5028.12,247,50
2187,574.02,31,289
2188,680.3,26,60
2189,1174.35,58,63
2190,205.3,12,95
2191,302.27,21,270
2193,921.1,48,74
2194,52.0,1,109
2195,327.97,24,198
2196,551.54,38,63
2197,165.0,1,326
2198,312.62,33,3
2199,204.5,16,283
2200,267.13,36,43
2201,2650.73,106,48
2202,602.97,49,63
2203,162.29,49,103
2204,311.71,29,333
2205,208.75,10,52
2206,1005.5,62,34
2207,714.96,13,31
2208,1661.06,35,365
2209,1028.56,16,207
2210,351.67,99,156
2211,173.97,36,53
2212,557.57,88,65
2213,2020.52,17,80
2214,391.76,26,115
2215,364.5,21,86
2216,476.58,32,0
2217,367.69,23,34
2218,252.42000000000002,17,332
2219,201.60000000000002,5,365
2220,158.04,9,71
2221,473.81,72,157
2222,115.65,5,372
2223,1862.14,233,11
